company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_growth_category,annual_stock_return,return_category,total_return,return_volatility,average_return,dividend_consistency
McDonald's,MCD,2024,289.8900146484375,6.779999999999999,2.34,8.83,Increased,-2.23,Negative,0.11,13.41,10.64,90.91
McDonald's,MCD,2025,305.6300048828125,7.17,2.35,5.75,Increased,5.43,Positive,7.78,13.41,10.64,90.91
Microsoft,MSFT,2015,55.47999954223633,1.29,2.33,,First Year,,First Year,,26.56,27.08,90.91
Microsoft,MSFT,2016,62.13999938964844,1.47,2.37,13.95,Increased,12.0,Positive,14.37,26.56,27.08,90.91
Microsoft,MSFT,2017,85.54000091552734,1.59,1.86,8.16,Increased,37.66,Positive,39.52,26.56,27.08,90.91
Microsoft,MSFT,2018,101.56999969482422,1.72,1.69,8.18,Increased,18.74,Positive,20.43,26.56,27.08,90.91
Microsoft,MSFT,2019,157.6999969482422,1.89,1.2,9.88,Increased,55.26,Positive,56.46,26.56,27.08,90.91
Microsoft,MSFT,2020,222.4199981689453,2.09,0.94,10.58,Increased,41.04,Positive,41.98,26.56,27.08,90.91
Microsoft,MSFT,2021,336.32000732421875,2.3000000000000003,0.68,10.05,Increased,51.21,Positive,51.89,26.56,27.08,90.91
Microsoft,MSFT,2022,239.82000732421875,2.54,1.06,10.43,Increased,-28.69,Negative,-27.63,26.56,27.08,90.91
Microsoft,MSFT,2023,376.0400085449219,2.79,0.74,9.84,Increased,56.8,Positive,57.54,26.56,27.08,90.91
Microsoft,MSFT,2024,421.5,3.08,0.73,10.39,Increased,12.09,Positive,12.82,26.56,27.08,90.91
Microsoft,MSFT,2025,483.6199951171875,3.4,0.7,10.39,Increased,14.74,Positive,15.44,26.56,27.08,90.91
PepsiCo,PEP,2015,99.91999816894533,2.764,2.77,,First Year,,First Year,,11.72,4.27,90.91
PepsiCo,PEP,2016,104.62999725341795,2.962,2.83,7.16,Increased,4.71,Positive,7.54,11.72,4.27,90.91
PepsiCo,PEP,2017,119.91999816894533,3.168,2.64,6.95,Increased,14.61,Positive,17.25,11.72,4.27,90.91
PepsiCo,PEP,2018,110.4800033569336,3.5890000000000004,3.25,13.29,Increased,-7.87,Negative,-4.62,11.72,4.27,90.91
PepsiCo,PEP,2019,136.6699981689453,3.793,2.78,5.68,Increased,23.71,Positive,26.49,11.72,4.27,90.91
PepsiCo,PEP,2020,148.3000030517578,4.024,2.71,6.09,Increased,8.51,Positive,11.22,11.72,4.27,90.91
PepsiCo,PEP,2021,173.7100067138672,4.247999999999999,2.45,5.57,Increased,17.13,Positive,19.58,11.72,4.27,90.91
PepsiCo,PEP,2022,180.6600036621093,4.525,2.5,6.52,Increased,4.0,Positive,6.5,11.72,4.27,90.91
PepsiCo,PEP,2023,169.83999633789062,4.944999999999999,2.91,9.28,Increased,-5.99,Negative,-3.08,11.72,4.27,90.91
PepsiCo,PEP,2024,152.05999755859375,5.33,3.51,7.79,Increased,-10.47,Negative,-6.96,11.72,4.27,90.91
PepsiCo,PEP,2025,143.52000427246094,5.6240000000000006,3.92,5.52,Increased,-5.62,Negative,-1.7,11.72,4.27,90.91
Procter & Gamble,PG,2015,79.41000366210938,2.633,3.32,,First Year,,First Year,,14.34,6.93,90.91
Procter & Gamble,PG,2016,84.08000183105469,2.673,3.18,1.52,Increased,5.88,Positive,9.06,14.34,6.93,90.91
Procter & Gamble,PG,2017,91.87999725341795,2.74,2.98,2.51,Increased,9.28,Positive,12.26,14.34,6.93,90.91
