company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,price_growth,annual_stock_return,total_return
Verizon,VZ,2016,53.380001068115234,2.273,4.26,2.62,15.49,15.49,19.75
Verizon,VZ,2017,52.93000030517578,2.324,4.39,2.24,-0.84,-0.84,3.55
Verizon,VZ,2018,56.220001220703125,2.373,4.22,2.11,6.22,6.22,10.44
Verizon,VZ,2019,61.400001525878906,2.424,3.95,2.15,9.21,9.21,13.16
Verizon,VZ,2020,58.75,2.473,4.21,2.02,-4.32,-4.32,-0.11
Verizon,VZ,2021,51.959999084472656,2.524,4.86,2.06,-11.56,-11.56,-6.7
Verizon,VZ,2022,39.400001525878906,2.573,6.53,1.94,-24.17,-24.17,-17.64
Verizon,VZ,2023,37.70000076293945,2.624,6.96,1.98,-4.31,-4.31,2.65
Verizon,VZ,2024,39.9900016784668,2.673,6.68,1.87,6.07,6.07,12.75
Verizon,VZ,2025,40.72999954223633,2.724,6.69,1.91,1.85,1.85,8.54
Walmart,WMT,2015,20.433332443237305,0.653332,3.2,,,,
Walmart,WMT,2016,23.040000915527344,0.666668,2.89,2.04,12.76,12.76,15.65
Walmart,WMT,2017,32.91666793823242,0.68,2.07,2.0,42.87,42.87,44.94
Walmart,WMT,2018,31.049999237060547,0.693332,2.23,1.96,-5.67,-5.67,-3.44
Walmart,WMT,2019,39.61333465576172,0.706668,1.78,1.92,27.58,27.58,29.36
Walmart,WMT,2020,48.04999923706055,0.72,1.5,1.89,21.3,21.3,22.8
Walmart,WMT,2021,48.22999954223633,0.733332,1.52,1.85,0.37,0.37,1.89
Walmart,WMT,2022,47.26333236694336,0.746668,1.58,1.82,-2.0,-2.0,-0.42
Walmart,WMT,2023,52.54999923706055,0.76,1.45,1.79,11.19,11.19,12.64
Walmart,WMT,2024,90.3499984741211,0.832,0.92,9.47,71.93,71.93,72.85
Walmart,WMT,2025,111.41000366210938,0.94,0.84,12.98,23.31,23.31,24.15
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.69,,,,
Exxon Mobil,XOM,2016,90.26000213623048,2.98,3.3,3.47,15.79,15.79,19.09
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.66,2.68,-7.33,-7.33,-3.67
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.74,5.56,-18.47,-18.47,-13.73
Exxon Mobil,XOM,2019,69.77999877929688,3.43,4.92,6.19,2.33,2.33,7.25
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.44,1.46,-40.93,-40.93,-32.49
Exxon Mobil,XOM,2021,61.18999862670898,3.49,5.7,0.29,48.45,48.45,54.15
Exxon Mobil,XOM,2022,110.3000030517578,3.55,3.22,1.72,80.26,80.26,83.48
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.68,3.66,-9.36,-9.36,-5.68
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.57,4.35,7.59,7.59,11.16
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.32,4.17,11.87,11.87,15.19
