company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_consistency,annual_stock_return,total_return,return_volatility,revenue,net_income,total_assets,profit_margin,roa
McDonald's,MCD,2024,289.8900146484375,6.779999999999999,2.34,8.83,90.91,-2.23,0.11,13.41,25920000000.0,8223000000.0,55182000000.0,31.724537037037038,14.901598347287159
McDonald's,MCD,2025,305.6300048828125,7.17,2.35,5.75,90.91,5.43,7.78,13.41,26885000000.0,8563000000.0,59515000000.0,31.850474242142457,14.38796941947408
Microsoft,MSFT,2015,55.47999954223633,1.29,2.33,,90.91,,,26.56,,,,,
Microsoft,MSFT,2016,62.13999938964844,1.47,2.37,13.95,90.91,12.0,14.37,26.56,,,,,
Microsoft,MSFT,2017,85.54000091552734,1.59,1.86,8.16,90.91,37.66,39.52,26.56,,,,,
Microsoft,MSFT,2018,101.56999969482422,1.72,1.69,8.18,90.91,18.74,20.43,26.56,,,,,
Microsoft,MSFT,2019,157.6999969482422,1.89,1.2,9.88,90.91,55.26,56.46,26.56,,,,,
Microsoft,MSFT,2020,222.4199981689453,2.09,0.94,10.58,90.91,41.04,41.98,26.56,,,,,
Microsoft,MSFT,2021,336.32000732421875,2.3000000000000003,0.68,10.05,90.91,51.21,51.89,26.56,,,,,
Microsoft,MSFT,2022,239.82000732421875,2.54,1.06,10.43,90.91,-28.69,-27.63,26.56,,,,,
Microsoft,MSFT,2023,376.0400085449219,2.79,0.74,9.84,90.91,56.8,57.54,26.56,211915000000.0,72361000000.0,411976000000.0,34.14623787839464,17.5643726819038
Microsoft,MSFT,2024,421.5,3.08,0.73,10.39,90.91,12.09,12.82,26.56,245122000000.0,88136000000.0,512163000000.0,35.955972944084984,17.208583985957596
Microsoft,MSFT,2025,483.6199951171875,3.4,0.7,10.39,90.91,14.74,15.44,26.56,281724000000.0,101832000000.0,619003000000.0,36.146015248967075,16.450970350709124
PepsiCo,PEP,2015,99.91999816894533,2.764,2.77,,90.91,,,11.72,,,,,
PepsiCo,PEP,2016,104.62999725341795,2.962,2.83,7.16,90.91,4.71,7.54,11.72,,,,,
PepsiCo,PEP,2017,119.91999816894533,3.168,2.64,6.95,90.91,14.61,17.25,11.72,,,,,
PepsiCo,PEP,2018,110.4800033569336,3.5890000000000004,3.25,13.29,90.91,-7.87,-4.62,11.72,,,,,
PepsiCo,PEP,2019,136.6699981689453,3.793,2.78,5.68,90.91,23.71,26.49,11.72,,,,,
PepsiCo,PEP,2020,148.3000030517578,4.024,2.71,6.09,90.91,8.51,11.22,11.72,,,,,
PepsiCo,PEP,2021,173.7100067138672,4.247999999999999,2.45,5.57,90.91,17.13,19.58,11.72,,,,,
PepsiCo,PEP,2022,180.6600036621093,4.525,2.5,6.52,90.91,4.0,6.5,11.72,86392000000.0,8910000000.0,92187000000.0,10.313454949532364,9.665137166845652
PepsiCo,PEP,2023,169.83999633789062,4.944999999999999,2.91,9.28,90.91,-5.99,-3.08,11.72,91471000000.0,9074000000.0,100495000000.0,9.92008396103683,9.029304940544305
PepsiCo,PEP,2024,152.05999755859375,5.33,3.51,7.79,90.91,-10.47,-6.96,11.72,91854000000.0,9578000000.0,99467000000.0,10.427417423302197,9.629324298511063
PepsiCo,PEP,2025,143.52000427246094,5.6240000000000006,3.92,5.52,90.91,-5.62,-1.7,11.72,93925000000.0,8240000000.0,107399000000.0,8.772957146659568,7.672324695760668
Procter & Gamble,PG,2015,79.41000366210938,2.633,3.32,,90.91,,,14.34,,,,,
Procter & Gamble,PG,2016,84.08000183105469,2.673,3.18,1.52,90.91,5.88,9.06,14.34,,,,,
Procter & Gamble,PG,2017,91.87999725341795,2.74,2.98,2.51,90.91,9.28,12.26,14.34,,,,,
Procter & Gamble,PG,2018,91.91999816894533,2.841,3.09,3.69,90.91,0.04,3.13,14.34,,,,,
Procter & Gamble,PG,2019,124.9000015258789,2.955,2.37,4.01,90.91,35.88,38.25,14.34,,,,,
Procter & Gamble,PG,2020,139.13999938964844,3.119,2.24,5.55,90.91,11.4,13.64,14.34,,,,,
Procter & Gamble,PG,2021,163.5800018310547,3.401,2.08,9.04,90.91,17.57,19.65,14.34,,,,,
Procter & Gamble,PG,2022,151.55999755859375,3.609,2.38,6.12,90.91,-7.35,-4.97,14.34,,,,,
Procter & Gamble,PG,2023,146.5399932861328,3.736,2.55,3.52,90.91,-3.31,-0.76,14.34,82006000000.0,14653000000.0,120829000000.0,17.868204765504963,12.127055590959124
Procter & Gamble,PG,2024,167.64999389648438,3.962,2.36,6.05,90.91,14.41,16.77,14.34,84039000000.0,14879000000.0,122370000000.0,17.70487511750497,12.159025905042085
Procter & Gamble,PG,2025,143.30999755859375,4.178,2.92,5.45,90.91,-14.52,-11.6,14.34,84284000000.0,15974000000.0,125231000000.0,18.952588866214228,12.755627600194842
Verizon,VZ,2015,46.220001220703125,2.215,4.79,,90.91,,,11.33,,,,,
Verizon,VZ,2016,53.380001068115234,2.273,4.26,2.62,90.91,15.49,19.75,11.33,,,,,
Verizon,VZ,2017,52.93000030517578,2.324,4.39,2.24,90.91,-0.84,3.55,11.33,,,,,
Verizon,VZ,2018,56.220001220703125,2.373,4.22,2.11,90.91,6.22,10.44,11.33,,,,,
Verizon,VZ,2019,61.400001525878906,2.424,3.95,2.15,90.91,9.21,13.16,11.33,,,,,
Verizon,VZ,2020,58.75,2.473,4.21,2.02,90.91,-4.32,-0.11,11.33,,,,,
Verizon,VZ,2021,51.959999084472656,2.524,4.86,2.06,90.91,-11.56,-6.7,11.33,,,,,
Verizon,VZ,2022,39.400001525878906,2.573,6.53,1.94,90.91,-24.17,-17.64,11.33,136835000000.0,21256000000.0,379680000000.0,15.53403734424672,5.598398651495996
Verizon,VZ,2023,37.70000076293945,2.624,6.96,1.98,90.91,-4.31,2.65,11.33,133974000000.0,11614000000.0,380255000000.0,8.668846194037648,3.0542662160918335
Verizon,VZ,2024,39.9900016784668,2.673,6.68,1.87,90.91,6.07,12.75,11.33,134788000000.0,17506000000.0,384711000000.0,12.987803068522421,4.550428763409417
Verizon,VZ,2025,40.72999954223633,2.724,6.69,1.91,90.91,1.85,8.54,11.33,138191000000.0,17174000000.0,404258000000.0,12.427726841834852,4.248277090372979
Walmart,WMT,2015,20.433332443237305,0.653332,3.2,,90.91,,,23.44,,,,,
Walmart,WMT,2016,23.040000915527344,0.666668,2.89,2.04,90.91,12.76,15.65,23.44,,,,,
Walmart,WMT,2017,32.91666793823242,0.68,2.07,2.0,90.91,42.87,44.94,23.44,,,,,
Walmart,WMT,2018,31.049999237060547,0.693332,2.23,1.96,90.91,-5.67,-3.44,23.44,,,,,
Walmart,WMT,2019,39.61333465576172,0.706668,1.78,1.92,90.91,27.58,29.36,23.44,,,,,
Walmart,WMT,2020,48.04999923706055,0.72,1.5,1.89,90.91,21.3,22.8,23.44,,,,,
Walmart,WMT,2021,48.22999954223633,0.733332,1.52,1.85,90.91,0.37,1.89,23.44,,,,,
Walmart,WMT,2022,47.26333236694336,0.746668,1.58,1.82,90.91,-2.0,-0.42,23.44,,,,,
Walmart,WMT,2023,52.54999923706055,0.76,1.45,1.79,90.91,11.19,12.64,23.44,611289000000.0,11680000000.0,243197000000.0,1.9107165350595219,4.802690822666398
Walmart,WMT,2024,90.3499984741211,0.832,0.92,9.47,90.91,71.93,72.85,23.44,648125000000.0,15511000000.0,252399000000.0,2.3932111861137897,6.1454284684170695
Walmart,WMT,2025,111.41000366210938,0.94,0.84,12.98,90.91,23.31,24.15,23.44,680985000000.0,19436000000.0,260823000000.0,2.854101044810091,7.451796812397679
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.69,,90.91,,,34.3,,,,,
Exxon Mobil,XOM,2016,90.26000213623048,2.98,3.3,3.47,90.91,15.79,19.09,34.3,,,,,
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.66,2.68,90.91,-7.33,-3.67,34.3,,,,,
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.74,5.56,90.91,-18.47,-13.73,34.3,,,,,
Exxon Mobil,XOM,2019,69.77999877929688,3.43,4.92,6.19,90.91,2.33,7.25,34.3,,,,,
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.44,1.46,90.91,-40.93,-32.49,34.3,,,,,
Exxon Mobil,XOM,2021,61.18999862670898,3.49,5.7,0.29,90.91,48.45,54.15,34.3,,,,,
Exxon Mobil,XOM,2022,110.3000030517578,3.55,3.22,1.72,90.91,80.26,83.48,34.3,398675000000.0,55740000000.0,369067000000.0,13.981313099642566,15.1029487870766
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.68,3.66,90.91,-9.36,-5.68,34.3,334697000000.0,36010000000.0,376317000000.0,10.758984992396108,9.56906012749889
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.57,4.35,90.91,7.59,11.16,34.3,339247000000.0,33680000000.0,453475000000.0,9.927869664285904,7.427090798831247
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.32,4.17,90.91,11.87,15.19,34.3,323905000000.0,28844000000.0,448980000000.0,8.905080193266544,6.424339614236714
